"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
42091205502,"Wynnewood, PA",48676
34007603503,"Willowdale, Cherry Hill, NJ",48049
42091204900,"Villanova, PA",47223
42091204800,"Gladwyne, PA",47093
34007606200,"Haddonfield, NJ",47048
42091205400,"Wynnewood, PA",46757
42091201404,"Fort Washington, PA",46453
42045409601,"Bryn Mawr, PA",46418
34007606100,"Haddonfield, NJ",46344
42091201800,"Jenkintown, PA",45911
34007603506,"Greentree, Cherry Hill, NJ",45903
42091200104,"Montgomery County, PA",45842
42101038500,"Chestnut Hill, Philadelphia, PA",45780
42091203208,"Blue Bell, PA",45714
42091204600,"Penn Valley, PA",45651
34007607504,"Voorhees Township, NJ",45532
42101038600,"Chestnut Hill, Philadelphia, PA",45428
42045407805,"Springfield, PA",45192
42101000803,"Center City, Philadelphia, PA",45122
34007610600,"Pennsauken Township, NJ",45052
42101013401,"Fairmount, Philadelphia, PA",45019
34007606400,"Haddonfield, NJ",44886
42091204500,"Merion Station, PA",44789
34007603507,"Cherry Hill, NJ",44619
42091201501,"Montgomery County, PA",44430
42091205200,"Haverford, PA",44423
34007607505,"Voorhees Township, NJ",44373
34005702908,"Mount Laurel, NJ",44244
34005700505,"Moorestown, NJ",44175
42101008801,"West Philadelphia, Philadelphia, PA",44139
42101020600,"East Falls, Philadelphia, PA",44138
42091201406,"Dresher, PA",44038
42091204009,"Plymouth Meeting, PA",43968
42091203105,"Lafayette Hill, PA",43924
42101035602,"Bustleton, Philadelphia, PA",43792
42091205503,"Penn Wynne, Wynnewood, PA",43589
42091203103,"Lafayette Hill, PA",43475
34007607503,"Voorhees Township, NJ",43383
34005700605,"Delran, NJ",43314
34005702907,"Mount Laurel, NJ",43249
34005704008,"Evesham Township, NJ",43238
34007603501,"Greentree, Cherry Hill, NJ",43177
42045408400,"Haverford, PA",43138
34007603504,"Cherry Hill, NJ",43122
42091200310,"Huntingdon Valley, Willow Grove, PA",42921
42091210300,"Flourtown, PA",42839
42091210500,"Wyndmoor, PA",42816
42091202301,"Elkins Park, PA",42764
42045408600,"Havertown, PA",42730
42091201608,"Abington, PA",42643
34007603602,"Barclay-Kingston, Cherry Hill, NJ",42635
42101001002,"Center City, Philadelphia, PA",42375
42101035900,"Northeast Philadelphia, Philadelphia, PA",42367
42045400900,"Drexel Hill, Upper Darby, PA",42365
42101001001,"Center City, Philadelphia, PA",42343
42091201705,"Glenside, PA",42183
42101001102,"Center City, Philadelphia, PA",42067
42101036600,"Center City, Philadelphia, PA",42033
42091201502,"Meadowbrook, PA",41995
34005700501,"Moorestown-Lenola, Moorestown, NJ",41829
34005704014,"Evesham Township, NJ",41827
42045401000,"Drexel Hill, Upper Darby, PA",41819
42091200105,"Montgomery County, PA",41803
42045401103,"Drexel Hill, Upper Darby, PA",41792
42045407803,"Springfield, PA",41773
42017100206,"Bensalem, PA",41770
42045407804,"Springfield, PA",41767
42101023100,"Chestnut Hill, Philadelphia, PA",41763
42101036502,"Northeast Philadelphia, Philadelphia, PA",41693
42091204701,"Penn Valley, PA",41685
42045408300,"Haverford, PA",41546
42101034702,"Northeast Philadelphia, Philadelphia, PA",41499
42091205100,"Bryn Mawr, PA",41468
42091202100,"Jenkintown, PA",41295
42091204702,"Bala Cynwyd, PA",41271
42091201901,"Rydal, PA",41207
42045401200,"Drexel Hill, Upper Darby, PA",41175
42101013601,"Fairmount, Philadelphia, PA",41135
42091204010,"Plymouth Meeting, PA",41098
42101038400,"Northwest Philadelphia, Philadelphia, PA",41024
42045409200,"Havertown, PA",40934
42091203104,"Lafayette Hill, PA",40915
42101034400,"Bustleton, Philadelphia, PA",40842
34005700503,"Moorestown-Lenola, Moorestown, NJ",40787
34007608205,"Somerdale, NJ",40773
42101001201,"Center City, Philadelphia, PA",40747
42045408700,"Havertown, PA",40670
42091202602,"Wyncote, PA",40598
34005700305,"Cinnaminson, NJ",40565
42045407802,"Springfield, PA",40476
42101035601,"Bustleton, Philadelphia, PA",40413
42091204400,"Bala Cynwyd, PA",40402
34007603601,"Ashland, Cherry Hill, NJ",40331
42101001202,"Center City, Philadelphia, PA",40310
34005700200,"Riverton, NJ",40267
34005702905,"Ramblewood, Mount Laurel, NJ",40254
34007603303,"Erlton-Ellisburg, Cherry Hill, NJ",40179
42045409400,"Havertown, PA",40105
42045408900,"Havertown, PA",40062
34007603400,"Barclay-Kingston, Cherry Hill, NJ",39980
42045409300,"Havertown, PA",39959
34007603800,"Haddon Township, NJ",39862
42091200106,"Montgomery County, PA",39858
42091202202,"Montgomery County, PA",39814
42045409000,"Drexel Hill, Havertown, PA",39812
42091203000,"Fort Washington, PA",39801
42101021800,"Roxborough-Manayunk, Philadelphia, PA",39744
34005704013,"Cambridge Park, Evesham Township, NJ",39652
42091210200,"Oreland, PA",39641
42045403902,"Ridley Park, PA",39621
42101013402,"Fairmount, Philadelphia, PA",39514
34007605800,"Haddon Heights, NJ",39502
34007605900,"Haddon Heights, NJ",39466
42101022000,"Northwest Philadelphia, Philadelphia, PA",39445
34005704007,"Marlton, Evesham Township, NJ",39391
42045408500,"Havertown, PA",39269
42101036501,"Northeast Philadelphia, Philadelphia, PA",39268
34007606000,"Haddon Heights, NJ",39201
42045409500,"Drexel Hill, Havertown, PA",39133
34005704011,"Marlton, Evesham Township, NJ",39132
34007607502,"Echelon, Voorhees Township, NJ",39118
34005700504,"Moorestown-Lenola, Moorestown, NJ",39103
42101036203,"Millbrook, Philadelphia, PA",39101
42045400802,"Drexel Hill, Upper Darby, PA",39024
34005700306,"Cinnaminson, NJ",38978
42017100104,"Northeast Philadelphia, Philadelphia, PA",38973
42091202000,"Rockledge, PA",38898
42045408800,"Ardmore, PA",38832
34007603901,"Haddonfield, NJ",38817
42101033200,"Mayfair, Philadelphia, PA",38735
34007602901,"Pennsauken Township, NJ",38718
34005700304,"Cinnaminson, NJ",38630
34005700307,"Cinnaminson, NJ",38617
42101035200,"Northeast Philadelphia, Philadelphia, PA",38590
42091201902,"Elkins Park, PA",38568
42091202201,"Montgomery County, PA",38558
42091201411,"Fort Washington, PA",38547
42101035701,"Bustleton, Philadelphia, PA",38514
42101036900,"University City, Philadelphia, PA",38510
42091202402,"Melrose Park, PA",38456
34007605602,"Audubon, NJ",38449
42045409100,"Havertown, PA",38449
42017100212,"Bensalem, PA",38383
42045410602,"Folsom, PA",38342
34007603603,"Barclay-Kingston, Cherry Hill, NJ",38312
42101035500,"Bustleton, Philadelphia, PA",38289
42017101401,"Feasterville-Trevose, PA",38252
42045401104,"Drexel Hill, Upper Darby, PA",38250
42045401302,"Drexel Hill, Upper Darby, PA",38193
42101034701,"Northeast Philadelphia, Philadelphia, PA",38180
42091202302,"Elkins Park, PA",38180
42091203304,"Norristown, PA",38176
42101036000,"Northeast Philadelphia, Philadelphia, PA",38170
34005704006,"Greentree, Cherry Hill, NJ",38153
34005702910,"Mount Laurel, NJ",38010
34005702909,"Mount Laurel, NJ",37888
42101980200,"Northeast Philadelphia, Philadelphia, PA",37864
42045401900,"Lansdowne, PA",37855
42101034100,"Fox Chase/ Burholme, Philadelphia, PA",37793
42091210100,"Oreland, PA",37781
42101023600,"Mount Airy, Philadelphia, PA",37738
42091200200,"Huntingdon Valley, Bryn Athyn, PA",37735
34007606300,"Haddonfield, NJ",37669
42101034200,"Fox Chase/ Burholme, Philadelphia, PA",37595
42045409602,"Bryn Mawr, PA",37568
42101031502,"Mayfair, Philadelphia, PA",37506
34005702906,"Ramblewood, Mount Laurel, NJ",37490
42101035800,"Northeast Philadelphia, Philadelphia, PA",37488
34005700602,"Riverside, NJ",37458
42101030800,"Oxford Circle/ Castor, Philadelphia, PA",37442
34007604400,"Collingswood, NJ",37432
34007603302,"Cherry Hill, NJ",37385
42091205906,"King of Prussia, PA",37335
34005704005,"Marlton, Evesham Township, NJ",37315
42101000804,"Center City, Philadelphia, PA",37293
42101001600,"Queen Village, Philadelphia, PA",37233
42101036301,"Northeast Philadelphia, Philadelphia, PA",37209
42101021700,"Northwest Philadelphia, Philadelphia, PA",37176
42091201607,"Abington, PA",37149
42101000402,"Center City, Philadelphia, PA",37073
42101036202,"Millbrook, Philadelphia, PA",37004
34007603505,"Ashland, Cherry Hill, NJ",36946
42101033702,"Northeast Philadelphia, Philadelphia, PA",36886
42101021200,"Northwest Philadelphia, Philadelphia, PA",36850
42101034803,"Northeast Philadelphia, Philadelphia, PA",36807
42091202604,"Glenside, PA",36669
42017100210,"Bensalem, PA",36665
42091203303,"East Norriton, PA",36652
42101033101,"Holmesburg, Philadelphia, PA",36509
42091205600,"Narberth, PA",36496
42101035302,"Morrell Park, Philadelphia, PA",36480
42101034501,"Northeast Philadelphia, Philadelphia, PA",36472
42045400600,"Upper Darby, PA",36424
42101031600,"Northeast Philadelphia, Philadelphia, PA",36385
34007605400,"Mount Ephraim, NJ",36360
42045401600,"Lansdowne, PA",36359
42045401501,"Clifton Heights, PA",36346
42091204002,"Plymouth Meeting, PA",36345
42091201605,"Roslyn, Abington, PA",36321
42101033300,"Northeast Philadelphia, Philadelphia, PA",36305
42101035702,"Bustleton, Philadelphia, PA",36270
34007607506,"Echelon, Voorhees Township, NJ",36246
42091202500,"Montgomery County, PA",36228
34007606800,"Bellmawr, NJ",36190
42091204101,"Conshohocken, PA",36169
42091201407,"Oreland, PA",36136
34007606600,"Haddonfield, NJ",36066
42091205000,"Bryn Mawr, PA",36053
42101038800,"Mount Airy, Philadelphia, PA",35988
42101038700,"Northwest Philadelphia, Philadelphia, PA",35981
42091201706,"Glenside, PA",35939
42101036201,"Morrell Park, Philadelphia, PA",35877
42101033600,"Northeast Philadelphia, Philadelphia, PA",35863
42045403602,"Norwood, PA",35834
42091210400,"Glenside, PA",35805
34005700701,"Riverside, NJ",35752
42045403901,"Ridley Park, PA",35716
42045403200,"Aldan, PA",35703
42045401402,"Drexel Hill, Upper Darby, PA",35567
34007604700,"Oaklyn, NJ",35557
42017100209,"Bensalem, PA",35556
34007603902,"Haddon Township, NJ",35549
42101003800,"Girard Estates, Philadelphia, PA",35523
42101036303,"Northeast Philadelphia, Philadelphia, PA",35521
42091202603,"Glenside, PA",35469
42045400700,"Upper Darby, PA",35429
34005700405,"Maple Shade Township, NJ",35422
42091204300,"Bala Cynwyd, PA",35417
42101000300,"Center City, Philadelphia, PA",35404
34005700502,"Moorestown-Lenola, Moorestown, NJ",35369
34007608206,"Camden County, NJ",35360
34005704004,"Marlton, Evesham Township, NJ",35307
34015500201,"West Deptford, NJ",35276
42045401401,"Drexel Hill, Upper Darby, PA",35258
42101034801,"Northeast Philadelphia, Philadelphia, PA",35243
42091201703,"Glenside, PA",35211
34015500500,"Gibbstown, Greenwich Township, NJ",35187
34007604600,"Oaklyn, NJ",35133
34007603100,"Merchantville, NJ",35125
42101000801,"Center City, Philadelphia, PA",35020
42101033500,"Northeast Philadelphia, Philadelphia, PA",34966
42101031501,"Mayfair, Philadelphia, PA",34956
42101023500,"Mount Airy, Philadelphia, PA",34874
42101030700,"Lawncrest, Philadelphia, PA",34852
42091210600,"Plymouth Meeting, PA",34846
42101026900,"North Philadelphia, Philadelphia, PA",34805
42101000902,"Center City, Philadelphia, PA",34793
42045410500,"Upper Darby, PA",34764
42045403701,"Essington, Tinicum Township, PA",34717
42101032600,"Northeast Philadelphia, Philadelphia, PA",34683
34007605700,"Audubon, NJ",34644
42101036100,"Northeast Philadelphia, Philadelphia, PA",34628
42101033102,"Holmesburg, Philadelphia, PA",34554
34007603700,"Erlton-Ellisburg, Cherry Hill, NJ",34545
34005700603,"Delran, NJ",34536
34005700800,"Delanco, NJ",34468
42101035301,"Morrell Park, Philadelphia, PA",34455
42101033701,"Northeast Philadelphia, Philadelphia, PA",34433
42045403601,"Norwood, PA",34422
34007604300,"Collingswood, NJ",34397
42045401502,"Clifton Heights, PA",34387
42101021100,"Northwest Philadelphia, Philadelphia, PA",34377
42045404004,"Morton, PA",34374
42091201704,"Glenside, PA",34341
42017100105,"Bensalem, PA",34324
34007607600,"Gibbsboro, NJ",34324
34007607507,"Echelon, Voorhees Township, NJ",34301
42101034000,"Fox Chase/ Burholme, Philadelphia, PA",34244
42045403001,"Briarcliffe, Glenolden, PA",34238
34007607200,"Runnemede, NJ",34218
34005700408,"Maple Shade Township, NJ",34198
42101000200,"Center City, Philadelphia, PA",34182
42101033900,"Fox Chase/ Burholme, Philadelphia, PA",34177
42091204007,"Conshohocken, PA",34171
42101031000,"Oxford Circle/ Castor, Philadelphia, PA",34146
42017100207,"Bensalem, PA",34084
34005700102,"Palmyra, NJ",34041
42101021600,"Northwest Philadelphia, Philadelphia, PA",34021
34007611700,"Mount Ephraim, NJ",34008
34007603301,"Cherry Hill, NJ",33996
42101025800,"North Philadelphia, Philadelphia, PA",33966
34005700303,"Cinnaminson, NJ",33964
42045403501,"Glenolden, PA",33945
42101000700,"Center City, Philadelphia, PA",33926
42101037900,"North Philadelphia, Philadelphia, PA",33919
34015500205,"Thorofare, West Deptford, NJ",33826
42045403002,"Briarcliffe, Glenolden, PA",33794
42101037300,"Packer Park, Philadelphia, PA",33784
34005701002,"Beverly, NJ",33765
42045401101,"Drexel Hill, Upper Darby, PA",33714
42101021900,"Roxborough-Manayunk, Philadelphia, PA",33674
34007607100,"Runnemede, NJ",33663
42101021500,"Manayunk, Philadelphia, PA",33605
42045410601,"Folsom, PA",33595
42101020800,"East Falls, Philadelphia, PA",33559
34007604200,"Collingswood, NJ",33537
42091204008,"Conshohocken, PA",33348
42101037500,"Overbrook, Philadelphia, PA",33331
42101020700,"East Falls, Philadelphia, PA",33324
42045401800,"Lansdowne, PA",33310
42101032000,"Northeast Philadelphia, Philadelphia, PA",33295
34007610900,"Audubon, NJ",33278
42101033800,"Fox Chase/ Burholme, Philadelphia, PA",33206
34007602902,"Pennsauken Township, NJ",33167
34007602601,"Pennsauken Township, NJ",33116
34005700402,"Maple Shade Township, NJ",33098
42101034802,"Northeast Philadelphia, Philadelphia, PA",33096
34005701001,"Edgewater Park, NJ",33007
42101030600,"Lawncrest, Philadelphia, PA",32996
42101018002,"North Philadelphia, Philadelphia, PA",32984
42101025700,"Chestnut Hill, Philadelphia, PA",32958
42101012500,"North Philadelphia, Philadelphia, PA",32945
34007608302,"Camden County, NJ",32890
34007606700,"Barrington, NJ",32831
42101025600,"East Mount Airy, Philadelphia, PA",32756
42045403800,"Prospect Park, PA",32747
42045403502,"Glenolden, PA",32684
42045403103,"Collingdale, PA",32680
42017100201,"Trevose, Feasterville-Trevose, PA",32667
34015501003,"Woodbury, NJ",32661
42045404103,"Ridley Park, PA",32632
42101021300,"Manayunk, Philadelphia, PA",32629
42045403300,"Clifton Heights, PA",32593
42091203106,"Conshohocken, PA",32593
42101001101,"Center City, Philadelphia, PA",32569
42101034502,"Bustleton, Philadelphia, PA",32549
42101033400,"Northeast Philadelphia, Philadelphia, PA",32547
42101018300,"Bridesburg, Philadelphia, PA",32480
42101027000,"North Philadelphia, Philadelphia, PA",32479
42045402200,"Yeadon, PA",32448
42101002900,"Passyunk Square, Philadelphia, PA",32439
42101002802,"East Passyunk Crossing, Philadelphia, PA",32365
42101020900,"Northwest Philadelphia, Philadelphia, PA",32331
42045401700,"Lansdowne, PA",32309
42091205501,"Ardmore, PA",32287
42101018400,"North Philadelphia, Philadelphia, PA",32282
34007605300,"Brooklawn, NJ",32219
42045407700,"Morton, PA",32191
34005700702,"Riverside, NJ",32157
34007611100,"Bellmawr, NJ",32155
42101002702,"Pennsport, Philadelphia, PA",32150
34015500202,"Woodbury, NJ",32128
42101034900,"Holmesburg, Philadelphia, PA",32127
42101025500,"Northwest Philadelphia, Philadelphia, PA",32117
34005700401,"Maple Shade Township, NJ",32098
42017100102,"Bensalem, PA",32058
34007605200,"Gloucester City, NJ",32030
34007611600,"Collingswood, NJ",32004
42101003902,"South Philadelphia, Philadelphia, PA",31998
34007603200,"Cherry Hill, NJ",31939
34007605100,"Gloucester City, NJ",31935
42101001700,"Queen Village, Philadelphia, PA",31901
42101031402,"Oxford Circle/ Castor, Philadelphia, PA",31873
34007602602,"Pennsauken Township, NJ",31860
42101030502,"Lawncrest, Philadelphia, PA",31653
34015500300,"National Park, NJ",31641
42101031102,"Oxford Circle/ Castor, Philadelphia, PA",31576
34007603001,"Merchantville, NJ",31504
42091201604,"Roslyn, Abington, PA",31275
42101009000,"Powelton Village, Philadelphia, PA",31229
42101031700,"Mayfair, Philadelphia, PA",31222
42045403101,"Collingdale, PA",31217
42017100103,"Bensalem, PA",31189
42101006100,"Elmwood, Philadelphia, PA",31134
42101021000,"Manayunk, Philadelphia, PA",31131
42091205300,"Ardmore, PA",31099
42101013602,"Brewerytown, Philadelphia, PA",31039
42091201603,"Willow Grove, PA",31012
42101012100,"Wynnefield, Philadelphia, PA",30957
34005700403,"Maple Shade Township, NJ",30916
42101031101,"Oxford Circle/ Castor, Philadelphia, PA",30901
42091201606,"Roslyn, Abington, PA",30836
34015501001,"Woodbury, NJ",30812
42045400401,"Upper Darby, PA",30793
34015501102,"Woodbury, NJ",30767
42045401301,"Drexel Hill, Upper Darby, PA",30726
34005702810,"Willingboro, NJ",30663
42101030200,"Frankford, Philadelphia, PA",30653
